City Name,State Code/Country Name,Latitude,Longitude,Irradiance,Avg temp,Max temp,Min temp
Manama,Bahrain,26.2235041,50.5822436,5.21,27.526,41.708,12.424
Sao Paulo,Brazil,-23.5506507,-46.6333824,4.596,19.952,35.814,4.198
Rio de Janeiro,Brazil,-22.9110137,-43.2093727,4.704,23.314,35.144,15.582
Bogota,Columbia,4.6533326,-74.083652,4.684,18.802,27.836,10.404
Mexico City,Mexico,19.4326296,-99.1331785,5.554,14.25,30.054,-1.272
Queretaro,Mexico,20.5927744,-100.3902245,5.942,17.784,35.02,-0.85
Monterrey,Mexico,25.6802019,-100.315258,5.484,17.894,36.068,-3.648
Bahia Blanca,Argentina,-38.7176522,-62.2654871,4.92,15.166,40.208,-3.832
Quilicura,Chille,-33.3552701,-70.74435525,5.576,15.722,35.44,-4.604
Cairo,Egypt,30.0443879,31.2357257,5.736,21.858,43.786,2.758
Tunis,Tunisia,33.8439408,9.400138,5.588,20.736,46.044,0.538
Cape Town,South Africa,-33.928992,18.417396,5.63,16.956,26.584,10.384
Johannesburg,South Africa,-26.205,28.049722,5.646,17.322,36.164,-1.978
Lagos,Nigeria,6.4550575,3.3941795,4.6,26.582,31.794,19.382
Boston,MA,42.3602534,-71.0582912,3.864,9.892,34.066,-20.506
Los Angeles,CA,34.0536909,-118.242766,5.642,17.754,39.928,1.38
Boston,MA,42.3609603,-71.05796656,3.864,9.892,34.066,-20.506
Los Angeles,CA,34.05391803,-118.2426533,5.642,17.754,39.928,1.38
